30	30	30	30	30	30	30	11	30	30	100	30	30	11	30	30	30	30	30	30
30	30	30	30	30	30	30	30	11	11	0	11	11	30	30	30	30	30	30	30
30	30	30	30	30	30	30	11	0	0	0	0	0	11	30	30	30	30	30	30
30	30	30	30	30	30	11	30	0	0	0	0	0	30	11	30	30	30	30	30
30	30	30	30	30	30	30	11	0	0	0	0	0	11	30	30	30	30	30	30
30	30	30	30	30	30	30	11	0	0	0	0	0	11	30	30	30	30	30	30
30	30	30	30	30	30	30	30	11	22	22	22	11	30	30	30	30	30	30	30
30	30	30	30	30	30	30	11	0	0	0	0	0	11	30	30	30	30	30	30
30	30	30	30	30	30	30	11	0	0	0	0	0	11	30	30	30	30	30	30
30	30	30	30	30	30	30	30	11	22	22	22	11	30	30	30	30	30	30	30
30	30	30	30	30	30	30	30	11	0	0	0	11	30	30	30	30	30	30	30
30	30	30	30	30	30	30	30	0	11	0	11	30	30	30	30	30	30	30	30
30	30	30	30	30	30	30	30	11	0	0	0	11	30	30	30	30	30	30	30
30	30	30	30	30	30	30	11	0	0	0	0	0	11	30	30	30	30	30	30
30	30	30	30	30	30	11	0	11	0	0	0	11	0	11	30	30	30	30	30
30	30	30	30	30	11	0	0	0	0	0	0	0	0	0	11	30	30	30	30
30	30	30	30	11	0	0	0	22	22	0	22	22	0	0	0	11	30	30	30
30	30	30	11	0	0	0	22	0	22	0	22	0	22	0	0	0	11	30	30
30	30	11	0	0	0	0	11	0	11	22	11	0	11	0	0	0	0	11	30
30	11	0	0	0	0	11	0	0	22	99	22	0	0	11	0	0	0	0	11

