2	2	0	0	0	0	0	0	0	0	2	0	0	0	2	2	2	2	2	2	
2	2	0	2	2	2	2	2	2	0	2	1	2	0	2	0	0	0	0	0
2	2	0	0	0	1	0	0	1	0	2	0	2	0	2	0	2	2	2	0
2	2	2	2	2	1	0	1	0	0	2	0	2	0	2	0	2	99	2	0
0	0	0	0	0	0	0	1	0	0	2	0	2	0	2	0	0	0	2	0
0	0	2	2	2	2	2	2	2	0	2	0	2	0	2	2	2	2	2	0
0	2	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0
0	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2
0	0	0	0	0	0	1	0	0	0	0	0	2	100	0	0	0	0	0	2
0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	1	0	2
0	1	0	0	1	0	0	1	0	0	2	2	0	0	0	0	0	1	0	2
0	1	0	0	1	0	0	1	0	1	2	0	0	6	6	6	0	1	0	0
5	5	5	5	5	5	5	5	0	0	2	1	0	5	5	6	5	5	5	5
6	6	6	5	6	6	6	6	0	0	1	0	0	6	6	6	5	5	5	5
6	5	5	5	6	5	5	5	0	0	2	0	0	6	5	5	5	5	5	5
6	6	6	5	6	5	6	6	0	0	2	0	0	6	6	6	6	6	5	5
5	5	6	5	6	5	5	6	0	0	2	2	0	5	5	6	5	6	5	5
6	6	6	5	6	6	6	6	0	1	0	1	0	5	5	6	6	6	6	6
5	5	5	5	5	5	5	5	0	0	2	0	0	5	5	5	5	6	5	6
5	5	5	5	5	5	5	5	0	0	1	0	0	5	5	5	5	6	6	6
	
