5500	1
7000	1
7500	1
9000	1
9500	1
9700	1
13000	1
13200	1
13500	1
13700	1

16000	2
16000	2
16200	2

18000	2
18200	2
18400	1
18600	1
18800	2
19000	2

22000	3
23000	3
24000	3

27000	1
27000	1
27000	1
28000	2
28000	2
28000	2
29000	3
29000	3
29500	3

32000	2
32200	2
32400	2
32600	2
32800	2
32900	2
32950	2
32990	2

33000	1
33500	2
34000	1
34500	2
35000	1
35500	2
36000	1
36500	2
37000	1
37500	2
38000	1
38500	2
39000	1
39500	2
40000	1
40000	2
40000	1
40000	3
40000	3
40000	3
40000	3

43000	1
43010	1
43020	1
43030	1
43040	1
43050	1
43060	1
43070	1
43080	1
43090	1
44000	2
44010	1
44020	1
44030	1
44040	1
44050	1
44060	1
44070	1
44080	1
44090	1

44500	3
44700	3
44900	3

45000	4
45500	4
46000	4
46500	4
47000	4
47500	4

50000	3
51000	3
52000	3
53000	4
54000	3
55000	3
56000	3
57000	4
58000	3
59000	3
60000	3


63000	1
63000	1
63000	1
63000	1
63000	1
63500	2
63700	3
63900	1
64000	1
64000	1
64000	1
64000	1
64500	2
64700	3
64900	1
65000	1
65000	1
65000	1
65000	1
65000	1
65500	2
65700	3
65900	1
66000	1
66000	1
66000	1
66000	1
66000	1
66500	2
66700	3
66900	1
67000	1
67500	2
67700	3
67900	1
68000	1
68500	2
68700	3
68500	2
68700	3
68500	2
68700	3
68500	2
68700	3
68900	1

71000	4
71100	4
71200	4
71300	4
71400	4
71500	4
71600	4

72000	3
72200	3
72300	3
72400	3
72500	3
72600	3
72700	3
72800	3	
73820	4
73870	4
73900	4

73000	4
73000	4
73000	4

74000	1
74000	1
74000	1
74000	1
74000	1
74500	1
74500	1
74500	1
74500	1
74500	1
74500	1
74500	1
74500	1
74500	1
74500	1

77500	4
77500	4
77500	4
77500	4
77500	4
78000	2
78000	2
78000	2
78000	2
78000	2
79000	2
79000	1
79000	2
79000	1
79000	2
79000	1
79000	2
79000	1
79500	3
79500	3
79500	3
79500	3
79500	3

82000	5
82500	5
83000	5
84500	5
85000	5

89000	1
89200	4
89400	1
89600	4
89800	4
90000	4
91000	1
92000	2
93000	3
94000	1
95000	1
95500	1
96000	4
96500	4
96700	4
97000	1
98000	1
98500	1
99000	4
99500	5
100000	1
100500	1
100700	1
100800	1
100900	1
101000	4
102000	4
102000	4
105000	4
105000	4
107000	4
107000	4

110000	7
112000	4
112500	4
113000	4
113500	4
114000	4
114500	4
116000	4
116500	4
117000	4
117500	4
118000	4
118500	4
119000	4
119500	4

666	1
-999
